[2026-04-25 06:14:48] FAILOVER  branch1 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:14:50] FAILOVER  branch2 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:14:52] FAILOVER  branch3 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:16:35] FAILOVER  branch1 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:16:37] FAILOVER  branch2 → HQ UNREACHABLE — failover triggered!
[2026-04-25 06:16:39] FAILOVER  branch3 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:13] FAILOVER  branch1 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:13] FAILOVER  branch2 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:13] FAILOVER  branch3 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:43:14] FAILOVER  branch4 → HQ UNREACHABLE — failover triggered!
[2026-05-02 03:51:42] FAILOVER  branch1 → HQ UNREACHABLE!
[2026-05-02 03:51:42] FAILOVER  branch2 → HQ UNREACHABLE!
[2026-05-02 03:51:42] FAILOVER  branch3 → HQ UNREACHABLE!
[2026-05-02 03:51:42] FAILOVER  branch4 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch1 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch2 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch3 → HQ UNREACHABLE!
[2026-05-02 04:07:58] FAILOVER  branch4 → HQ UNREACHABLE!
[2026-05-02 04:53:35] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:53:37] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:53:49] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:53:51] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:53:53] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:54:06] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:54:08] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:54:10] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:54:22] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:54:24] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:54:26] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:54:38] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:54:40] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:54:42] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:54:54] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:54:56] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:54:58] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:55:10] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:55:12] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:55:14] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:55:26] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:55:28] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:55:30] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:55:43] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:55:45] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:55:47] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:55:59] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:56:01] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:56:03] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:56:15] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:56:17] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:56:19] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:56:31] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:56:33] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:56:35] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:56:47] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:56:49] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:56:51] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:57:03] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:57:06] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:57:08] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:57:20] OK        branch1 → HQ  0.2 ms
[2026-05-02 04:57:22] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:57:24] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:57:36] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:57:38] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:57:40] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:57:52] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:57:54] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:57:56] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:58:08] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:58:10] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:58:12] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:58:24] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:58:26] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:58:28] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:58:41] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:58:43] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:58:45] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:58:57] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:58:59] OK        branch2 → HQ  0.0 ms
[2026-05-02 04:59:01] OK        branch3 → HQ  0.0 ms
[2026-05-02 04:59:13] OK        branch1 → HQ  0.0 ms
[2026-05-02 04:59:15] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:59:17] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:59:29] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:59:31] OK        branch2 → HQ  0.1 ms
[2026-05-02 04:59:33] OK        branch3 → HQ  0.1 ms
[2026-05-02 04:59:45] OK        branch1 → HQ  0.1 ms
[2026-05-02 04:59:47] OK        branch2 → HQ  0.1 ms
[2026-05-02 09:07:12] OK        branch3 → HQ  0.7 ms
[2026-05-02 09:07:25] OK        branch1 → HQ  0.2 ms
[2026-05-02 09:07:27] OK        branch2 → HQ  0.1 ms
[2026-05-02 09:07:29] OK        branch3 → HQ  0.1 ms
[2026-05-02 09:07:41] OK        branch1 → HQ  0.1 ms
[2026-05-02 09:07:43] OK        branch2 → HQ  0.1 ms
[2026-05-02 09:07:45] OK        branch3 → HQ  0.1 ms
[2026-05-02 09:07:57] OK        branch1 → HQ  0.1 ms
[2026-05-02 09:07:59] OK        branch2 → HQ  0.1 ms
[2026-05-02 09:08:01] OK        branch3 → HQ  0.1 ms
[2026-05-02 09:08:13] OK        branch1 → HQ  0.1 ms
[2026-05-02 09:08:15] OK        branch2 → HQ  0.1 ms
[2026-05-02 09:08:17] OK        branch3 → HQ  0.1 ms
